Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Garman, A.N., Polavarapu, N., Grady, J.C., Canar, W.J.",Leading toward value: The role of strategic human resource management in health system adaptability,2013,Advances in Health Care Management,14,,17093861,167,187,2,10.1108/S1474-8231(2013)00000140012,https://www.scopus.com/inward/record.url?eid=2-s2.0-84886045730&partnerID=40&md5=c1afe31f609f8faf389ab97ca9c4bdc0,Article,Final,,Scopus,2-s2.0-84886045730
"Awan, U., Waqas, M., Naqvi, I.H.",Balanced human resource management averted unions in private sector of Pakistan,2013,Middle East Journal of Scientific Research,16,6,,860,864,,10.5829/idosi.mejsr.2013.16.06.11845,https://www.scopus.com/inward/record.url?eid=2-s2.0-84885991495&partnerID=40&md5=28be0207885a5658d816b13ab5ac48ce,Article,Final,,Scopus,2-s2.0-84885991495
"Marx, R., Soares, J.P.R.F.",The relation between shareholder value orientation and human resources management in Brazilian settings,2013,Espacios,34,8,,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84885355631&partnerID=40&md5=eed9e84d61ea4c261d10b5230e5b6641,Article,Final,,Scopus,2-s2.0-84885355631
"Salehi, A.",Strategic human resource management,2013,Advances in Environmental Biology,7,8,,1782,1787,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84885115051&partnerID=40&md5=c4ac40888adee94bcca9deb7507e4890,Article,Final,,Scopus,2-s2.0-84885115051
"Krieg, R., Nagels, K.",Receptiveness to changing practices in human resource management: A comparison of mainland chinese and taiwanese employees in German-Chinese business,2013,Rethinking Chinese Transnational Enterprises: Cultural Affinity and Business Strategies,,,,38,63,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084593715&partnerID=40&md5=042388f6107cce69a4573a38fafd7e73,Book Chapter,Final,,Scopus,2-s2.0-85084593715
"Vanhala, S., Stavrou, E.",Human resource management practices and the HRM-performance link in public and private sector organizations in three Western societal clusters,2013,Baltic Journal of Management,8,4,,416,437,15,10.1108/BJM-12-2012-0115,https://www.scopus.com/inward/record.url?eid=2-s2.0-84885066251&partnerID=40&md5=18751f5aa68f5c1bdee86ddf6c7cf0ea,Article,Final,,Scopus,2-s2.0-84885066251
"Rall, M., Oberfrank, S.","Human factors and crisis resource management. Improving patient safety | ""Human factors"" und ""crisis resource management"" erhÖhung der patientensicherheit",2013,Unfallchirurg,116,10,,892,899,6,10.1007/s00113-013-2447-5,https://www.scopus.com/inward/record.url?eid=2-s2.0-84892959393&partnerID=40&md5=1317ea541a2a7a259fb47f5122ee7abb,Article,Final,,Scopus,2-s2.0-84892959393
"Fan, D., Zhang, M.M., Zhu, C.J.",International human resource management strategies of Chinese multinationals operating abroad,2013,Asia Pacific Business Review,19,4,,526,541,26,10.1080/13602381.2013.821804,https://www.scopus.com/inward/record.url?eid=2-s2.0-84887045510&partnerID=40&md5=50943f961d7b8c10b856fd589913936e,Article,Final,,Scopus,2-s2.0-84887045510
"Bhanugopan, R., Aladwan, K., Fish, A.",A structural equation model for measuring human resource management practices in the Jordanian organisations,2013,International Journal of Organizational Analysis,21,4,,565,587,6,10.1108/IJOA-09-2011-0510,https://www.scopus.com/inward/record.url?eid=2-s2.0-84884806263&partnerID=40&md5=6015fbe28c729f179ac753525688b509,Article,Final,,Scopus,2-s2.0-84884806263
"Xie, Y., Zhu, Y., Warner, M.",Exploring the reality of educated middle managers' capability and involvement in human resource management in China,2013,International Journal of Human Resource Management,24,18,,3478,3495,8,10.1080/09585192.2013.777677,https://www.scopus.com/inward/record.url?eid=2-s2.0-84882271029&partnerID=40&md5=d4ed0ad5d0f1f079f4e4ea8245dd73bb,Article,Final,,Scopus,2-s2.0-84882271029
"Chang, Y.K., Oh, W.-Y., Messersmith, J.G.","Erratum to Translating corporate social performance into financial performance: exploring the moderating role of highperformance work practices (The International Journal of Human Resource Management, (2013))",2013,International Journal of Human Resource Management,24,17,,3393,,,10.1080/09585192.2013.802549,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881663323&partnerID=40&md5=3c20c548340a0356bffae3eb675924dd,Erratum,Final,,Scopus,2-s2.0-84881663323
"Akingbola, K.",Context and Nonprofit Human Resource Management,2013,Administration and Society,45,8,,974,1004,14,10.1177/0095399712451887,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881586075&partnerID=40&md5=8ce27e3d42620415dcb59330b727a048,Article,Final,,Scopus,2-s2.0-84881586075
"Bondarouk, T., Olivas-Luján, M.R.",Social media and human resource management: It takes two to tango,2013,Advanced Series in Management,12,,,xi,xv,2,10.1108/S1877-6361(2013)0000012004,https://www.scopus.com/inward/record.url?eid=2-s2.0-84884469960&partnerID=40&md5=1736d55940850e5204500dcd461218ab,Review,Final,,Scopus,2-s2.0-84884469960
"Androniceanu, A.",Ethical values and the human resources behaviour in public management,2013,Administratie si Management Public,,20,,49,61,11,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84884409162&partnerID=40&md5=4e5fbd7164981d2139d24d34b824d115,Article,Final,,Scopus,2-s2.0-84884409162
"Jerry, C., Donatella, C.",A tale of two strategies: Framework for evaluating human resource management and innovation in Australia - Lessons for China,2013,International Conference on Management Science and Engineering - Annual Conference Proceedings,,,6586440,1295,1307,1,10.1109/ICMSE.2013.6586440,https://www.scopus.com/inward/record.url?eid=2-s2.0-84884339252&partnerID=40&md5=27decc7e7641de742d54a77c4676ef5e,Conference Paper,Final,,Scopus,2-s2.0-84884339252
"Shatouri, R.M., Omar, R., Igusa, K.","A runway for the automotive industry: Strategic human resource management first, then green technology innovation",2013,Energy Education Science and Technology Part A: Energy Science and Research,31,2,,1185,1198,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84883723188&partnerID=40&md5=14c39d49b047f9596a977b6c4a544905,Review,Final,,Scopus,2-s2.0-84883723188
"Ensslin, S.R., Ensslin, L., Back, F., Lacerda, R.T.D.O.",Improved decision aiding in human resource management: A case using constructivist multi-criteria decision aiding,2013,International Journal of Productivity and Performance Management,62,7,,735,757,22,10.1108/IJPPM-04-2012-0039,https://www.scopus.com/inward/record.url?eid=2-s2.0-84883689652&partnerID=40&md5=dd7c24fafc12288320500955467b13c0,Article,Final,,Scopus,2-s2.0-84883689652
"Kidron, A., Tzafrir, S.S., Meshulam, I., Iverson, R.D.",Internal integration within human resource management subsystems,2013,Journal of Managerial Psychology,28,6,,699,719,8,10.1108/JMP-05-2012-0156,https://www.scopus.com/inward/record.url?eid=2-s2.0-84883685559&partnerID=40&md5=f8ce7ecc829dccb12b3decd5a57d28f5,Article,Final,,Scopus,2-s2.0-84883685559
"Lloyd-Walker, B.",Human Resource Management in Project-Based Organizations: The HR Quadriad Framework,2013,International Journal of Managing Projects in Business,6,4,,827,830,,10.1108/IJMPB-07-2013-0029,https://www.scopus.com/inward/record.url?eid=2-s2.0-84986077127&partnerID=40&md5=0e083b21a572bf6a00d8a9624c2d7ad0,Review,Final,,Scopus,2-s2.0-84986077127
"Wilson, J.P.",Human Resource Management in the Public Sector,2013,Industrial and Commercial Training,45,6,,370,371,,10.1108/ICT-06-2013-0041,https://www.scopus.com/inward/record.url?eid=2-s2.0-85003047658&partnerID=40&md5=417affd498158472aa4576183aaf887e,Review,Final,,Scopus,2-s2.0-85003047658
"Søilen, K., Tontini, G.",Knowledge management systems and human resource management policies for innovation benchmarking: A study of ST ericsson,2013,International Journal of Innovation Science,5,3,,159,171,2,10.1260/1757-2223.5.3.159,https://www.scopus.com/inward/record.url?eid=2-s2.0-84884611813&partnerID=40&md5=61afbc8275350a7719c358f06671e04e,Article,Final,,Scopus,2-s2.0-84884611813
"Sablok, G., Bartram, T., Stanton, P., Burgess, J., McDonnell, A.",The impact of union presence and strategic human resource management on employee voice in multinational enterprises in Australia,2013,Journal of Industrial Relations,55,4,,621,639,10,10.1177/0022185613489434,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881571673&partnerID=40&md5=4641296aa574367800b0b17c43a69a3e,Article,Final,,Scopus,2-s2.0-84881571673
"Waters, K.P., Zuber, A., Willy, R.M., Kiriinya, R.N., Waudo, A.N., Oluoch, T., Kimani, F.M., Riley, P.L.","Kenya's Health Workforce Information System: A model of impact on strategic human resources policy, planning and management",2013,International Journal of Medical Informatics,82,9,,895,902,12,10.1016/j.ijmedinf.2013.06.004,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881378418&partnerID=40&md5=12b3af4f94d8d9c165968f7ddae32348,Article,Final,,Scopus,2-s2.0-84881378418
"Lee, S., Sanders, R.M.",Fridays Are Furlough Days: The Impact of Furlough Policy and Strategies for Human Resource Management During a Severe Economic Recession,2013,Review of Public Personnel Administration,33,3,,299,311,10,10.1177/0734371X13477426,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881220055&partnerID=40&md5=b8e3a07b161a96fd8a084daefd552d08,Article,Final,,Scopus,2-s2.0-84881220055
"Bartram, T., Dowling, P.J.",An international perspective on human resource management and performance in the health care sector: Toward a research agenda,2013,International Journal of Human Resource Management,24,16,,3031,3037,25,10.1080/09585192.2013.775024,https://www.scopus.com/inward/record.url?eid=2-s2.0-84880283764&partnerID=40&md5=d9238577a585c959a9dffa4efe8e0dee,Editorial,Final,,Scopus,2-s2.0-84880283764
"Medcof, J.W., Song, L.J.","Exploration, exploitation and human resource management practices in cooperative and entrepreneurial HR configurations",2013,International Journal of Human Resource Management,24,15,,2911,2926,15,10.1080/09585192.2012.756055,https://www.scopus.com/inward/record.url?eid=2-s2.0-84879910509&partnerID=40&md5=47d0f0397d1dfca34e72d6126d350a03,Article,Final,,Scopus,2-s2.0-84879910509
"Carter, N.T., Daniels, M.A., Zickar, M.J.",Projective testing: Historical foundations and uses for human resources management,2013,Human Resource Management Review,23,3,,205,218,6,10.1016/j.hrmr.2012.12.002,https://www.scopus.com/inward/record.url?eid=2-s2.0-84877606389&partnerID=40&md5=b0b1bc7912129f385dfbf9614b225b20,Article,Final,,Scopus,2-s2.0-84877606389
"Haines, E.L., Sumner, K.E.",Digging deeper or piling it higher? Implicit measurement in organizational behavior and human resource management,2013,Human Resource Management Review,23,3,,229,241,3,10.1016/j.hrmr.2012.12.004,https://www.scopus.com/inward/record.url?eid=2-s2.0-84877589958&partnerID=40&md5=9fb43967d2251acb5a26e7f4b2de5962,Article,Final,,Scopus,2-s2.0-84877589958
"Nickson, D.","Human resource management for hospitality, tourism and events: Second edition",2013,"Human Resource Management for Hospitality, Tourism and Events: Second Edition",,,,1,352,20,10.4324/9780080966496,https://www.scopus.com/inward/record.url?eid=2-s2.0-85086062523&partnerID=40&md5=bb13f59cfe1061433d1ce46b88bcc06e,Book,Final,,Scopus,2-s2.0-85086062523
"Barzoki, A.S., Mazraeh, S., Maleki, S.",Feasibility of implementing electronic human resource management (E-HRM) case study: Isfahan municipality,2013,"2013 7th Intenational Conference on e-Commerce in Developing Countries: With Focus on e-Security, ECDC 2013",,,6556731,,,,10.1109/ECDC.2013.6556731,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881628245&partnerID=40&md5=3db3450ca15f293fb2aaa03c9b4873dc,Conference Paper,Final,,Scopus,2-s2.0-84881628245
"Mills, K., Gell, P., Gergis, J., Baker, P.J., Finlayson, C.M., Hesse, P.P., Jones, R., Kershaw, P., Pearson, S., Treble, P.C., Barr, C., Brookhouse, M., Drysdale, R., McDonald, J., Haberle, S., Reid, M., Thoms, M., Tibby, J.",Paleoclimate studies and natural-resource management in the Murray-Darling Basin II: unravelling human impacts and climate variability,2013,Australian Journal of Earth Sciences,60,5,,561,571,15,10.1080/08120099.2013.823463,https://www.scopus.com/inward/record.url?eid=2-s2.0-84883464520&partnerID=40&md5=f481244986816a66925f8317e0a839c7,Review,Final,,Scopus,2-s2.0-84883464520
"Shen, J., Benson, J.",Socially responsible human resource management: A conceptual framework,2013,Sustainable Business: Theory and Practice of Business under Sustainability Principles,,,,120,136,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881875529&partnerID=40&md5=d294ed8fc6f6fceed464fc66141f5570,Book Chapter,Final,,Scopus,2-s2.0-84881875529
"Egerth, M., Pump, S., Graf, J.",Aviation and high-altitude medicine for anaesthetists - Part 4: Human Performance Limitations and Crew Resource Management | Flug- und Höhenmedizin für Anästhesisten - Teil 4: Menschliches Leistungsvermögen und Crew-Resource-Management,2013,Anasthesiologie Intensivmedizin Notfallmedizin Schmerztherapie,48,6,,424,428,1,10.1055/s-0033-1349008,https://www.scopus.com/inward/record.url?eid=2-s2.0-84879954829&partnerID=40&md5=48f59a13a660a0e48c770d60e5334597,Article,Final,,Scopus,2-s2.0-84879954829
[No author name available],Human resource management and the equality project,2013,"Dynamics of Managing Diversity, The",,,,205,228,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85071960438&partnerID=40&md5=c3b0b8805ae9465c170bc2e746ca7559,Book Chapter,Final,,Scopus,2-s2.0-85071960438
"Chen, H.-M., Kang, Y.-N.",Discussion of ITM-based human resources planning and management: An example of W corporation,2013,Lecture Notes in Electrical Engineering,236 LNEE,,,1073,1080,,10.1007/978-1-4614-7010-6-119,https://www.scopus.com/inward/record.url?eid=2-s2.0-84879458323&partnerID=40&md5=9a06ab55ae1cf7e9478ad1904c00f455,Conference Paper,Final,,Scopus,2-s2.0-84879458323
"Kysburn, A.U., Nnokam Nyege, C.",Challenges of human resource management for effective implementation of the universal basic education programme in rivers state,2013,Mediterranean Journal of Social Sciences,4,5,,51,59,,10.5901/mjss.2013.v4n5p51,https://www.scopus.com/inward/record.url?eid=2-s2.0-84892545568&partnerID=40&md5=0d9fc98899369a96288c77baa8797ce6,Article,Final,Open Access,Scopus,2-s2.0-84892545568
"Santiago, F.",How Human Resource Management Practices Contribute to Learning for Pharmaceutical Innovation in Mexico: Drawing From Internal and External Sources of Knowledge,2013,Latin American Business Review,14,4-Mar,,227,250,2,10.1080/10978526.2013.833473,https://www.scopus.com/inward/record.url?eid=2-s2.0-84889669895&partnerID=40&md5=48b7d1f81fa7da8cfbe27545610a478a,Article,Final,,Scopus,2-s2.0-84889669895
"Wong, S.C.K., Pang, L.W.L., Wong, N.C.M.",Reflections on Pedagogical Use of Blended Learning in Hospitality Education: A Case Study of Teaching Human Resources Management,2013,Journal of Teaching in Travel and Tourism,13,3,,251,281,4,10.1080/15313220.2013.813329,https://www.scopus.com/inward/record.url?eid=2-s2.0-84882581193&partnerID=40&md5=67fc18f3c0a6c3f3eae70c8ff10ea0d0,Article,Final,,Scopus,2-s2.0-84882581193
"Yan, M., Marie Francesco, A., Zhang, H., Chen, Y.",A social network perspective on relationship management in the human resource outsourcing network: Examining the moderating impact of HR task interdependence,2013,Human Resource Management,52,4,,585,606,9,10.1002/hrm.21543,https://www.scopus.com/inward/record.url?eid=2-s2.0-84880951060&partnerID=40&md5=1d303b4eba5db9e95ed1d72f955c316d,Article,Final,,Scopus,2-s2.0-84880951060
"Csillag, S.",Walking a thin line? Connecting ethical theory and practice: A co-operative inquiry with human resource management practitioners,2013,Action Learning: Research and Practice,10,2,,124,147,3,10.1080/14767333.2013.799453,https://www.scopus.com/inward/record.url?eid=2-s2.0-84879694888&partnerID=40&md5=ef46690509122d4b8d829df2e455052e,Article,Final,,Scopus,2-s2.0-84879694888
"Weimei, Z.",Design of functions and framework of enterprise Human resource Management Information System,2013,Information Technology Journal,12,8,,1593,1599,,10.3923/itj.2013.1593.1599,https://www.scopus.com/inward/record.url?eid=2-s2.0-84879329105&partnerID=40&md5=339e1ee1e0370619fd68385e820dcc8a,Article,Final,Open Access,Scopus,2-s2.0-84879329105
"Beaujolin-Belletet, R., Schmidt, G.","Management of human resources, work and employment. Which ""good theories"" could improve ""bad practices""? | Gestion des ressources humaines, du travail et de l'emploi: Quelles "" bonnes théories "" pour infléchir les "" mauvaises pratiques ""?",2013,Revue Francaise de Gestion,228-229,10-Sep,,41,57,,10.3166/RFG.228-229.41-57,https://www.scopus.com/inward/record.url?eid=2-s2.0-84879058377&partnerID=40&md5=2e75142b0bb1feab643e31b58ea359f5,Article,Final,,Scopus,2-s2.0-84879058377
"Banfield, W.",International human resource management,2013,Managing Human Resources,,,,209,256,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85072658660&partnerID=40&md5=bac0ef6ddd6cf775f8a21e340b710ea2,Book Chapter,Final,,Scopus,2-s2.0-85072658660
"Serna Gómez, H.M., Álvarez Giraldo, C.M., Calderón Hernández, G.",Causal conditions between human resource management and organizational culture. an empirical study in the colombian industrial context | Condiciones de causalidad entre la gestión de los recursos humanos y la cultura organizacional. un estudio empírico en el contexto industrial colombiano,2013,Acta Colombiana de Psicologia,15,2,,119,134,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84878772496&partnerID=40&md5=0181369203112a16454934ba56eb271e,Article,Final,,Scopus,2-s2.0-84878772496
"André, A.M., Ciampone, M.H.T., Santelle, O.",Health care units and human resources management trends,2013,Revista de Saude Publica,47,1,,158,163,4,10.1590/S0034-89102013000100020,https://www.scopus.com/inward/record.url?eid=2-s2.0-84878643473&partnerID=40&md5=840094b47856985f90091fac92ff4410,Article,Final,Open Access,Scopus,2-s2.0-84878643473
"Ioni??, R.M.",The relationship between quality management and human resources in tourism Spas,2013,Quality - Access to Success,14,SUPPL.2,,381,384,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84878280067&partnerID=40&md5=b1266b29e461d163b0a17375e7350c55,Article,Final,,Scopus,2-s2.0-84878280067
"Annor-Frempong, F.",The effects of human resource management and socio demographic characteristics on performance of extension agents in Kwara state of Nigeria,2013,Journal of International Agricultural and Extension Education,20,2,,133,134,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84883822987&partnerID=40&md5=6d54388f3eb2979ce93c97c04489936a,Article,Final,,Scopus,2-s2.0-84883822987
"Bourgeault, I.L.",Ethical considerations for effective health human resources planning and management,2013,Healthcare Management Forum,26,2,,65,67,2,10.1016/j.hcmf.2013.04.003,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881287353&partnerID=40&md5=1c418149028931256e2eb94a7e617c6c,Article,Final,,Scopus,2-s2.0-84881287353
"Gunnigle, P., Lavelle, J., Monaghan, S.",Weathering the storm? Multinational companies and human resource management through the global financial crisis,2013,International Journal of Manpower,34,3,,214,231,31,10.1108/IJM-04-2013-0078,https://www.scopus.com/inward/record.url?eid=2-s2.0-84878881371&partnerID=40&md5=2a852b444263a8217c04c101619e039e,Article,Final,,Scopus,2-s2.0-84878881371
"Woldu, H.G., Patel, C., Crawshaw, J.R.",A comparative analysis of cultural value orientations of Polish and Turkish employees: Implications for international human resource management,2013,International Journal of Human Resource Management,24,12,,2452,2471,3,10.1080/09585192.2013.781430,https://www.scopus.com/inward/record.url?eid=2-s2.0-84878150451&partnerID=40&md5=80fa6a4172aabef529b23f24221fe0af,Article,Final,,Scopus,2-s2.0-84878150451
"Runhaar, P., Sanders, K.",Implementing Human Resources Management (HRM) within Dutch VET institutions: Examining the fostering and hindering factors,2013,Journal of Vocational Education and Training,65,2,,236,255,14,10.1080/13636820.2013.783612,https://www.scopus.com/inward/record.url?eid=2-s2.0-84878138759&partnerID=40&md5=9ff3981174e65ce373d9982039c59a06,Article,Final,,Scopus,2-s2.0-84878138759
"Berman, E.M.",Human Resource Management in the Asia-Pacific Region: Symposium Introduction,2013,Review of Public Personnel Administration,33,2,,115,120,5,10.1177/0734371X13484830,https://www.scopus.com/inward/record.url?eid=2-s2.0-84878089901&partnerID=40&md5=664e469b53cf515652e61020df74215f,Editorial,Final,,Scopus,2-s2.0-84878089901
"Strohmeier, S., Piazza, F.",Domain driven data mining in human resource management: A review of current research,2013,Expert Systems with Applications,40,7,,2410,2420,48,10.1016/j.eswa.2012.10.059,https://www.scopus.com/inward/record.url?eid=2-s2.0-84873188432&partnerID=40&md5=99b95dbc7ce9628f5b7135cea985e0a7,Article,Final,,Scopus,2-s2.0-84873188432
"Hausmann, A.",Empirical research on human resource management in arts organizations: A review | Empirische forschung zum personalmanagement in kulturbetrieben: Ein literaturüberblick,2013,Zeitschrift fur Personalforschung,27,2,,103,124,1,10.1688/1862-0000_ZfP_2013_02_Hausmann,https://www.scopus.com/inward/record.url?eid=2-s2.0-84877647577&partnerID=40&md5=cc6fcca8f8335c602b3d9aebdc44c214,Article,Final,,Scopus,2-s2.0-84877647577
"Sinaki, M.T., Gharakhani, D., Jalalifar, S., Bahrami, H.",Role of human resources management and organizational learning in small and medium enterprises,2013,Life Science Journal,10,SUPPL.6,,690,694,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84876805894&partnerID=40&md5=51f53e26a6add658c6504ed0dc3968ec,Article,Final,,Scopus,2-s2.0-84876805894
"Wagner, M.",'Green' Human Resource Benefits: Do they Matter as Determinants of Environmental Management System Implementation?,2013,Journal of Business Ethics,114,3,,443,456,89,10.1007/s10551-012-1356-9,https://www.scopus.com/inward/record.url?eid=2-s2.0-84878608638&partnerID=40&md5=3a3ac7a6b499d04c796a53d84bee719c,Article,Final,,Scopus,2-s2.0-84878608638
"Froese, F.J., Jommersbach, S., Klautsch, E.","Corrigendum to Cosmopolitan career choices: A cross-cultural study of job candidates' expatriation willingness (The International Journal of Human Resource Management, (2013))",2013,International Journal of Human Resource Management,24,10,,,,,10.1080/09585192.2013.784504,https://www.scopus.com/inward/record.url?eid=2-s2.0-84876993632&partnerID=40&md5=3f6fd78803e3e96394597cf583933374,Erratum,Final,Open Access,Scopus,2-s2.0-84876993632
"Teti, E., Andriotto, M.","Corrigendum to (Effectiveness of employee welfare schemes: Differences of specific professional profiles, The International Journal of Human Resource Management (2013))",2013,International Journal of Human Resource Management,24,10,,,,,10.1080/09585192.2013.777246,https://www.scopus.com/inward/record.url?eid=2-s2.0-84876991338&partnerID=40&md5=8ed862a29e2487e9cc561654ba60f9bf,Erratum,Final,Open Access,Scopus,2-s2.0-84876991338
"Afiouni, F., Karam, C.M., El-Hajj, H.","Corrigendum to The HR value proposition model in the Arab Middle East: Identifying the contours of an Arab Middle Eastern HR model (The International Journal of Human Resource Management, (2012))",2013,International Journal of Human Resource Management,24,10,,,,3,10.1080/09585192.2013.793555,https://www.scopus.com/inward/record.url?eid=2-s2.0-84876955800&partnerID=40&md5=ff88914f8b3c46778e47db78b7a0771d,Erratum,Final,,Scopus,2-s2.0-84876955800
"Chuang, C.-H., Chen, S.-J., Chuang, C.-W.",Human resource management practices and organizational social capital: The role of industrial characteristics,2013,Journal of Business Research,66,5,,678,687,41,10.1016/j.jbusres.2012.04.002,https://www.scopus.com/inward/record.url?eid=2-s2.0-84875100525&partnerID=40&md5=74522ae69751ccafe6da5e22c04b8143,Article,Final,,Scopus,2-s2.0-84875100525
"de Melo, P.M.R.N., de Sá Cunha Machado, C.F.",Human resource management in SMEs: Action referential definition,2013,"Small and Medium Enterprises: Concepts, Methodologies, Tools, and Applications",3,,,1445,1468,,10.4018/978-1-4666-3886-0.ch072,https://www.scopus.com/inward/record.url?eid=2-s2.0-84944224037&partnerID=40&md5=24488efdf2bcb05d4f013a974b3e87ba,Book Chapter,Final,,Scopus,2-s2.0-84944224037
"Tynkkynen, L.-K., Sinervo, T., Elovainio, M., Lehto, J., Koivisto, A.-M., Noro, A., Finne-Soveri, H.","Employees' perceptions on organisational justice, job control and job demands: Do ownership and human resource management practices matter?",2013,Healthcare Management and Economics: Perspectives on Public and Private Administration,,,,124,140,1,10.4018/978-1-4666-3982-9.ch010,https://www.scopus.com/inward/record.url?eid=2-s2.0-84944215647&partnerID=40&md5=b0710268ef4f40d664df89e014fbb9a9,Book Chapter,Final,,Scopus,2-s2.0-84944215647
[No author name available],Meet the 2012 Game Changers (human resource management),2013,Human Resource Management International Digest,21,3,,162,165,,10.1108/hrmid.2013.04421caa.006,https://www.scopus.com/inward/record.url?eid=2-s2.0-85003055075&partnerID=40&md5=a8885072db8e36d70335a99cdf091f78,Article,Final,,Scopus,2-s2.0-85003055075
[No author name available],"Not featherbedding, but feathering the nest: Human resource management and investments in information technology",2013,Human Resource Management International Digest,21,3,,140,144,,10.1108/hrmid.2013.04421caa.001,https://www.scopus.com/inward/record.url?eid=2-s2.0-85003051437&partnerID=40&md5=9b0627c175558a9d21c1d50c2eeca254,Article,Final,,Scopus,2-s2.0-85003051437
[No author name available],Mutuality in the management of human resources: Assessing the quality of alignment in employment relationships,2013,Human Resource Management International Digest,21,3,,166,169,,10.1108/hrmid.2013.04421caa.007,https://www.scopus.com/inward/record.url?eid=2-s2.0-85003049665&partnerID=40&md5=b6baad2be4f4fe2770d427575388c966,Article,Final,,Scopus,2-s2.0-85003049665
[No author name available],Linking human resource management practices and customer satisfaction on product quality,2013,Human Resource Management International Digest,21,3,,152,155,,10.1108/hrmid.2013.04421caa.003,https://www.scopus.com/inward/record.url?eid=2-s2.0-85003043283&partnerID=40&md5=031b8131da28b46a038a8c1eb4af672d,Article,Final,,Scopus,2-s2.0-85003043283
"Fazio, L.S.",Personnel and human resource management in the occupational therapy curriculum,2013,The Occupational Therapy Managers' Survival Handbook: A Case Approach to Understanding the Basic Functions of Management,,,,75,86,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85080630376&partnerID=40&md5=402d50fffd18dbafaf223073aea1f5a9,Book Chapter,Final,,Scopus,2-s2.0-85080630376
"Drüteikiene, G., ?esyniene, R., Stankevi?iene, A.",Shift in functions and competences of human resources management professionals in the context of the labour market transformation,2013,Transformations in Business and Economics,12,1,,73,90,3,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84875865486&partnerID=40&md5=90bd67d10a0afa972b50c851e4c2385d,Article,Final,,Scopus,2-s2.0-84875865486
"Chen, Z.X., Farh, J.-L.",Human resources management practices in China: Township and village enterprises versus Sino-Foreign Joint Ventures,2013,Culture and International Business,,,,45,66,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85071774998&partnerID=40&md5=27f9e3872f8248a5afa762627578a6c4,Book Chapter,Final,,Scopus,2-s2.0-85071774998
"Akinyemi, G.M., Abiddin, N.Z.",Quality administration and management in higher education in nigeria: Implications for human resource development,2013,International Education Studies,6,4,,225,235,5,10.5539/ies.v6n4p225,https://www.scopus.com/inward/record.url?eid=2-s2.0-84875790660&partnerID=40&md5=1de5b3eab327a84cc99cfeda0428518d,Article,Final,Open Access,Scopus,2-s2.0-84875790660
"Molineux, J.",Enabling organizational cultural change using systemic strategic human resource management - a longitudinal case study,2013,International Journal of Human Resource Management,24,8,,1588,1612,10,10.1080/09585192.2012.723022,https://www.scopus.com/inward/record.url?eid=2-s2.0-84874452298&partnerID=40&md5=6beba3a449dca2173f9a6c514e760ed5,Article,Final,,Scopus,2-s2.0-84874452298
"Schaaper, J., Amann, B., Jaussaud, J., Nakamura, H., Mizoguchi, S.",Human resource management in Asian subsidiaries: comparison of French and Japanese MNCs,2013,International Journal of Human Resource Management,24,7,,1454,1470,17,10.1080/09585192.2012.712545,https://www.scopus.com/inward/record.url?eid=2-s2.0-84874445928&partnerID=40&md5=6a3e2281f6abf20740d71216fc2a2490,Article,Final,,Scopus,2-s2.0-84874445928
"Margotti, A.E., Avelar, P., Garcia, R.",Methodology for human resource management for development of competencies in clinical engineering,2013,IFMBE Proceedings,33 IFMBE,,,515,518,1,10.1007/978-3-642-21198-0_132,https://www.scopus.com/inward/record.url?eid=2-s2.0-84875040437&partnerID=40&md5=f4a9f2afe2d0f7e84d70f3d300af0f76,Conference Paper,Final,,Scopus,2-s2.0-84875040437
"Širca, N.T., Babnik, K., Breznik, K.",Towards organisational performance: Understanding human resource management climate,2013,Industrial Management and Data Systems,113,3,,367,384,28,10.1108/02635571311312668,https://www.scopus.com/inward/record.url?eid=2-s2.0-84874900555&partnerID=40&md5=0914b91a2591f77d0dab7805b6ae90fd,Article,Final,,Scopus,2-s2.0-84874900555
